"var_idx","mp_freq","cd_freq","cl_freq"
1,0.7,0.5,0.56
2,0.74,0.54,0.72
3,0.7,0.56,0.58
4,0.72,0.56,0.7
5,0.7,0.52,0.64
6,0.62,0.44,0.52
7,0.72,0.6,0.62
8,0.14,0.06,0.14
9,0.06,0.06,0.12
10,0.04,0.12,0.04
11,0.06,0.06,0.06
12,0.02,0.06,0.02
13,0.06,0.04,0.1
14,0.08,0.06,0.12
15,0.08,0.1,0.1
16,0.12,0.08,0.14
17,0.08,0.06,0.06
18,0.08,0.06,0.04
19,0.14,0.14,0.14
20,0.08,0.1,0.12
21,0.1,0.1,0.1
22,0.14,0.08,0.1
23,0.2,0.16,0.22
24,0.08,0.02,0.06
25,0.1,0.04,0.12
26,0.12,0.1,0.12
27,0.12,0.1,0.2
28,0.06,0,0.06
29,0.12,0.08,0.1
30,0.16,0.08,0.14
31,0.1,0.1,0.08
32,0.08,0.08,0.16
33,0.04,0.06,0.1
34,0.08,0.1,0.12
35,0.1,0.08,0.08
36,0.04,0.04,0.08
37,0.06,0.04,0.06
38,0.06,0.06,0.06
39,0.06,0.06,0.12
40,0.1,0.12,0.1
41,0.08,0.1,0.08
42,0.1,0.04,0.2
43,0.12,0.06,0.1
44,0.04,0.04,0.02
45,0.02,0.08,0.1
46,0.04,0.08,0.04
47,0.08,0.08,0.1
48,0.08,0.06,0.06
49,0.14,0.08,0.1
50,0.16,0.08,0.2
51,0.08,0.06,0.08
52,0.06,0.08,0.08
53,0.04,0.02,0.04
54,0.18,0.14,0.2
55,0.06,0.04,0.06
56,0.04,0.1,0.08
57,0.1,0.08,0.12
58,0.04,0.04,0.16
59,0.04,0.1,0.04
60,0.08,0.02,0.1
61,0.04,0.02,0.04
62,0.1,0.1,0.1
63,0.16,0.12,0.14
64,0.06,0.06,0.04
65,0,0,0.02
66,0.16,0.02,0.16
67,0.08,0.1,0.18
68,0.1,0.08,0.04
69,0.12,0.08,0.1
70,0.14,0.08,0.1
71,0.1,0.14,0.1
72,0.04,0.04,0.1
73,0.08,0.1,0.14
74,0.12,0.12,0.18
75,0.18,0.12,0.16
76,0.12,0.1,0.14
77,0.08,0.1,0.1
78,0.04,0.04,0.14
79,0.06,0.02,0.08
80,0.06,0.08,0.1
81,0.08,0.1,0.06
82,0.04,0.06,0.04
83,0.16,0.14,0.18
84,0.1,0.04,0.04
85,0.08,0.08,0.14
86,0.04,0.04,0.08
87,0.12,0.14,0.14
88,0.08,0.08,0.14
89,0.06,0.1,0.04
90,0.1,0.12,0.14
91,0.06,0.06,0.06
92,0.08,0.06,0.12
93,0.02,0.04,0.08
94,0.06,0.04,0.1
95,0.12,0.08,0.1
96,0.16,0.1,0.1
97,0.1,0.1,0.1
98,0.16,0.06,0.12
99,0.08,0.06,0.06
100,0.1,0.04,0.1
